"","PROM_GRAL_2018","PROM_GRAL_2019","GEN_ALU","ASISTENCIA_2018"
"424",6.2,6.4,"2",98
"425",5.4,5,"1",100
"426",6.4,6.3,"2",96
"427",6,6.3,"1",96
"428",6.2,6.3,"2",93
"429",5.1,5.3,"1",97
"430",6.2,6.4,"2",97
"431",5.7,5.7,"1",96
"432",5.2,5.2,"2",99
"433",5.9,5.2,"2",77
"434",5.6,5.4,"1",98
"435",5.5,4.6,"1",99
"436",4.8,5.3,"1",92
"437",5.4,5.4,"1",92
"438",6.5,6.4,"1",97
"439",4.8,4.6,"1",85
"440",5.6,5.3,"1",83
"441",5.9,4.7,"1",82
"442",5.1,5.4,"1",99
"443",5,4.7,"1",78
"444",5.5,5.1,"1",85
"445",6.1,5.6,"1",90
"446",5.4,5.6,"2",90
"447",6,4.2,"1",87
"448",5.6,5.2,"2",93
"449",5.3,4.7,"1",98
"450",5.9,5.6,"2",90
"451",6.4,6.7,"1",98
"452",5,4.4,"2",86
"453",5.8,5.6,"2",98
"454",5.6,5.1,"1",96
"455",5.5,5.6,"1",99
"456",5.8,5.5,"2",100
"457",5.6,5.9,"1",95
"458",6.2,6,"1",92
"459",6,5.1,"2",98
"460",5.7,5.5,"1",84
"461",6.7,6.4,"2",96
"462",6.8,6.9,"2",97
"463",5.3,5.3,"2",93
"464",5.4,5.4,"2",94
"465",6,5.7,"2",98
"466",4.7,4.5,"1",96
"467",6.5,5.9,"2",92
"468",6.2,6,"1",99
"469",5.8,6.1,"1",100
"470",5.1,5.5,"2",93
"471",5.2,4.9,"2",99
"472",6.1,5.8,"1",98
"473",5.8,5.7,"1",88
"474",5.5,5,"2",89
"475",5.8,5.8,"1",95
"476",5.5,5.1,"1",98
"477",5.2,5,"2",98
"478",5.2,5.6,"1",99
"479",6.3,6.2,"2",97
"480",5.1,5.3,"2",91
"481",5.1,5.5,"2",98
"482",6.4,5.5,"2",96
"483",5.5,6.1,"1",89
"484",5.1,4.8,"1",90
"485",5.3,4.8,"1",86
"486",5.1,4.8,"2",95
"487",6.3,6.4,"1",97
"488",5.4,5.3,"1",91
"489",5.1,5,"1",87
"490",5.8,5.6,"2",94
"491",5.4,5.7,"1",85
"492",5.9,5,"2",92
"493",5.7,5.3,"1",92
"494",5.7,6,"1",100
"495",6.4,6.5,"2",99
"496",5.3,5.6,"2",92
"497",5.3,4.8,"1",98
"498",6.2,6.1,"2",89
"499",6.4,6.1,"2",96
"500",5.7,6.1,"2",97
"501",4.9,4.6,"1",91
"502",6,6.1,"2",96
"503",5.7,5.7,"2",100
"504",6.5,6.4,"2",91
"505",5.3,5.2,"1",95
"506",5.4,5.2,"1",99
"507",5.3,4.9,"1",98
"508",5.6,4.1,"1",97
"509",6.1,5.5,"1",88
"510",4.9,4.5,"2",86
"511",6.2,5.8,"1",97
"512",6.2,5.9,"1",99
"513",6.7,6.6,"1",97
"514",6.1,5.6,"1",86
"515",5.9,5.4,"2",94
"516",4.5,5.9,"1",85
"517",5.7,4.5,"2",98
"518",5.9,5.4,"2",87
"519",6.2,6.1,"1",100
"520",6.1,5.4,"1",94
"521",5.7,6.3,"2",91
"522",6.3,4.8,"1",98
"523",5.8,6.1,"1",96
"524",6.7,6.8,"2",95
"525",5.8,5.7,"1",98
"526",5.8,4.9,"1",94
"527",5.3,4.7,"2",95
"528",5.2,5,"1",94
"529",5.2,5,"1",89
"530",6.3,5.9,"1",91
"531",6.3,6.5,"2",99
"532",5.7,4.8,"2",94
"533",5,4.7,"1",100
"534",6.4,5,"2",99
"535",6.4,5.1,"2",98
"536",5,4.8,"1",92
"537",5.5,5.5,"2",94
"538",6.2,5.4,"2",99
"539",5.6,5.8,"2",95
"540",5.1,5.6,"2",86
"541",5.9,4.9,"1",89
"542",5.4,6,"2",93
"543",5.9,5.9,"1",92
"544",5.8,5.3,"1",90
"545",5.7,6.1,"2",98
"546",5.9,5.4,"2",77
"547",6.1,5.1,"2",99
"548",6.7,5.9,"2",89
"549",5.3,5.4,"1",98
"550",6.6,5.9,"2",85
"551",5.2,5,"1",89
"552",6.8,6.8,"2",100
"553",6,6,"1",86
"554",5.3,4.9,"2",28
"555",5.4,4,"1",85
"556",6.1,5.5,"2",96
"557",5.6,5.6,"2",98
"558",6.8,6.8,"1",99
"559",5,5.3,"1",97
"560",5.9,5.7,"1",77
"561",5.3,4.5,"2",98
"562",5.6,5.6,"2",96
"563",5.4,5.1,"2",95
"564",5.4,5.6,"2",91
"565",5.6,5.4,"2",87
"566",6.3,5.7,"1",94
"567",5.7,5.6,"2",86
"568",6.2,6.1,"2",70
"569",5.1,5.4,"1",98
"570",5.4,5,"1",89
"571",5.7,5.4,"1",95
"572",6.4,6.4,"2",95
"573",5.5,4.9,"1",73
"574",5.3,5.3,"1",87
"575",5.5,5.9,"2",98
"576",5.9,5.8,"2",100
"577",6.2,6.4,"1",90
"578",5.2,5.1,"1",95
"579",5.2,5.1,"2",95
"580",5.2,5.2,"2",89
"581",5.8,5.5,"2",97
"582",5.4,4.2,"2",83
"583",6.4,5.5,"1",85
"584",5.3,5.5,"2",95
"585",5.4,4.9,"1",64
"586",5.2,5.4,"1",85
"587",6.4,6.2,"1",86
"588",6,6,"1",100
"589",5.6,5,"2",100
"590",5.8,5.5,"1",96
"591",5.5,5.4,"1",93
"592",6.6,6.8,"1",94
"593",6.3,5.3,"2",94
"594",6.1,6.4,"2",95
"595",5.2,4.9,"2",99
"596",6.2,6.2,"2",97
"597",4.8,5.2,"1",90
"598",5.2,5.1,"1",99
"599",5.4,5.6,"2",95
"600",6.2,5.9,"2",93
"601",6.3,6.3,"2",91
"602",5.5,5.9,"2",89
"603",6.5,5.5,"2",99
"604",5.5,4.8,"2",90
"605",6.6,6.6,"2",98
"606",5.9,5.1,"2",89
"607",5.6,5.9,"1",98
"608",6.6,5.8,"2",95
"609",5.6,5.4,"2",94
"610",5.8,5.8,"1",93
"611",6.5,6.6,"2",98
"612",6.1,5.9,"1",90
"613",6,5.9,"1",97
"614",6.1,6.3,"2",98
"615",5.7,5.7,"2",98
"616",5.9,5.9,"2",88
"617",6.3,6.4,"1",99
"618",6.7,6.5,"1",98
"619",5.4,5.4,"2",99
"620",5.6,5.4,"2",87
"621",6.4,5.9,"1",100
"622",4.6,5.1,"2",92
"623",4.5,3.4,"1",99
"624",5.8,5.6,"1",90
"625",5.3,5.5,"1",92
"626",5.4,5,"2",85
"627",5.6,5.6,"1",96
"628",6.5,6.6,"1",92
"629",6.7,6.6,"1",99
"630",4.9,5.6,"1",85
"631",5.1,5.7,"2",95
"632",6.3,6.5,"2",89
"633",6,6.1,"1",95
"634",5.6,5.7,"1",90
"635",5.8,4.9,"1",98
"636",6.3,6.1,"2",99
"637",5.4,4.2,"1",50
"638",5.7,5.7,"2",99
"639",6,6,"1",91
"640",5.3,5.2,"2",92
