"","COD_REG_RBD","RURAL_RBD","GEN_ALU","EDAD_ALU","PROM_GRAL","ASISTENCIA","CIENCIAS"
"361",13,0,2,17,5.5,93,"0"
"362",1,0,2,54,6.4,85,"0"
"363",13,1,2,17,6.7,96,"0"
"364",2,0,2,17,5.7,93,"0"
"365",8,0,1,18,5.4,86,"0"
"366",7,0,2,17,6.1,100,"0"
"367",5,0,2,17,5.9,98,"0"
"368",13,0,1,53,6.8,71,"0"
"369",12,0,1,18,5.7,83,"0"
"370",2,0,1,17,6,96,"0"
"371",13,0,2,17,6.3,85,"0"
"372",13,0,1,17,5.3,86,"0"
"373",9,0,2,17,6.1,98,"0"
"374",10,0,2,17,6.8,97,"0"
"375",6,0,1,17,6.3,84,"0"
"376",2,0,2,17,5.8,89,"0"
"377",9,0,1,17,4.8,90,"0"
"378",13,0,1,19,5,89,"0"
"379",11,1,2,19,6.1,75,"0"
"380",13,0,1,17,6.4,92,"0"
"381",13,0,2,17,5.3,92,"0"
"382",8,0,2,17,5.7,99,"0"
"383",13,0,1,18,5.7,93,"0"
"384",1,0,2,16,6,87,"0"
"385",5,0,2,17,6.1,85,"0"
"386",9,0,1,18,6.8,100,"0"
"387",8,0,1,17,5.5,88,"0"
"388",13,0,2,17,5.9,92,"0"
"389",13,0,2,18,5.8,95,"0"
"390",8,0,1,18,5.1,85,"0"
"391",5,0,2,18,6.5,68,"0"
"392",13,0,1,17,5.9,96,"0"
"393",13,0,1,17,6.4,91,"0"
"394",7,0,2,19,5.8,90,"0"
"395",13,1,1,17,5.4,89,"0"
"396",13,0,1,17,5.2,94,"0"
"397",15,0,2,17,6.8,100,"0"
"398",5,0,1,17,6.8,100,"0"
"399",13,0,1,17,5.2,69,"0"
"400",13,0,2,17,5.2,91,"0"
"401",13,0,1,17,5.5,84,"0"
"402",15,0,2,18,5.5,84,"0"
"403",13,0,1,17,5.6,85,"0"
"404",13,0,1,18,5.7,94,"0"
"405",13,0,2,17,6.1,90,"0"
"406",5,0,2,17,6.9,87,"0"
"407",8,0,1,17,6.1,93,"0"
"408",16,1,2,17,6.8,100,"0"
"409",4,0,2,17,5.3,85,"0"
"410",13,0,1,19,5.7,96,"0"
"411",13,0,2,17,5.8,89,"0"
"412",9,0,2,17,5.6,90,"0"
"413",3,0,2,17,5.4,90,"0"
"414",7,0,1,17,5.8,95,"0"
"415",2,0,1,17,5.3,98,"0"
"416",2,0,1,17,4.8,81,"0"
"417",13,0,2,17,6.2,96,"0"
"418",6,0,1,18,4.9,82,"0"
"419",4,0,2,17,6,92,"0"
"420",10,0,2,17,6.2,99,"0"
"421",13,0,1,18,6.4,93,"0"
"422",6,0,1,17,5.6,95,"0"
"423",13,0,2,18,6.3,86,"1"
"424",16,0,2,17,6.5,97,"0"
"425",9,1,2,17,5.9,95,"0"
"426",13,0,1,17,5.9,99,"0"
"427",13,0,2,17,5.8,90,"0"
"428",6,0,1,18,5.3,99,"0"
"429",4,0,2,17,6.4,94,"0"
"430",8,0,2,18,5.6,85,"0"
"431",8,0,2,17,5.9,81,"0"
"432",13,0,1,17,5.3,88,"0"
"433",13,0,1,17,6.8,94,"0"
"434",13,0,2,17,5.9,99,"0"
"435",8,0,1,17,5.7,84,"0"
"436",16,0,2,17,6,97,"0"
"437",16,0,2,17,5.7,91,"0"
"438",5,0,1,17,5.4,96,"0"
"439",3,0,2,17,5.1,84,"0"
"440",3,0,2,18,5.8,90,"0"
"441",13,0,2,18,6.1,84,"0"
"442",6,0,2,17,5.8,91,"0"
"443",8,0,1,18,5.6,80,"0"
"444",13,0,2,17,6.7,93,"0"
"445",13,0,1,17,6.5,100,"0"
"446",8,0,1,17,6.3,61,"0"
"447",3,0,1,18,6.8,95,"0"
"448",3,0,2,17,6.5,94,"0"
"449",4,0,1,19,4.8,71,"0"
"450",13,0,1,17,4.7,86,"0"
"451",13,0,1,17,6.2,96,"0"
"452",7,0,1,17,6.6,99,"0"
"453",7,0,2,17,5.8,94,"0"
"454",13,0,1,17,5.5,94,"0"
"455",8,0,2,17,5.7,88,"0"
"456",8,0,1,17,6,99,"0"
"457",13,0,2,17,5.6,97,"0"
"458",13,0,1,17,5.3,98,"0"
"459",5,0,2,17,6.4,90,"0"
"460",13,0,1,17,6.8,96,"0"
